"year","month","day","start","end","length","city"
2016,8,"29","5:53 ↑ (75°)","19:27 ↑ (285°)","13:33:48","dnipro"
2016,8,"30","5:54 ↑ (76°)","19:25 ↑ (284°)","13:30:24","dnipro"
2016,8,"31","5:56 ↑ (76°)","19:23 ↑ (284°)","13:27:00","dnipro"
2016,9,"1","5:57 ↑ (77°)","19:20 ↑ (283°)","13:23:34","dnipro"
2016,9,"2","5:58 ↑ (77°)","19:18 ↑ (282°)","13:20:10","dnipro"
2016,9,"3","6:00 ↑ (78°)","19:16 ↑ (282°)","13:16:43","dnipro"
2016,9,"4","6:01 ↑ (78°)","19:14 ↑ (281°)","13:13:17","dnipro"
2016,9,"5","6:02 ↑ (79°)","19:12 ↑ (281°)","13:09:51","dnipro"
2016,9,"6","6:04 ↑ (80°)","19:10 ↑ (280°)","13:06:23","dnipro"
2016,9,"7","6:05 ↑ (80°)","19:08 ↑ (280°)","13:02:56","dnipro"
2016,9,"8","6:07 ↑ (81°)","19:06 ↑ (279°)","12:59:28","dnipro"
2016,9,"9","6:08 ↑ (81°)","19:04 ↑ (278°)","12:56:00","dnipro"
2016,9,"10","6:09 ↑ (82°)","19:02 ↑ (278°)","12:52:30","dnipro"
2016,9,"11","6:11 ↑ (82°)","19:00 ↑ (277°)","12:49:02","dnipro"
2016,9,"12","6:12 ↑ (83°)","18:58 ↑ (277°)","12:45:33","dnipro"
2016,9,"13","6:14 ↑ (84°)","18:56 ↑ (276°)","12:42:03","dnipro"
2016,9,"14","6:15 ↑ (84°)","18:54 ↑ (276°)","12:38:34","dnipro"
2016,9,"15","6:16 ↑ (85°)","18:51 ↑ (275°)","12:35:04","dnipro"
2016,9,"16","6:18 ↑ (85°)","18:49 ↑ (274°)","12:31:35","dnipro"
2016,9,"17","6:19 ↑ (86°)","18:47 ↑ (274°)","12:28:04","dnipro"
2016,9,"18","6:21 ↑ (86°)","18:45 ↑ (273°)","12:24:34","dnipro"
2016,9,"19","6:22 ↑ (87°)","18:43 ↑ (273°)","12:21:03","dnipro"
2016,9,"20","6:23 ↑ (88°)","18:41 ↑ (272°)","12:17:33","dnipro"
2016,9,"21","6:25 ↑ (88°)","18:39 ↑ (271°)","12:14:02","dnipro"
2016,9,"22","6:26 ↑ (89°)","18:37 ↑ (271°)","12:10:32","dnipro"
2016,9,"23","6:28 ↑ (89°)","18:35 ↑ (270°)","12:07:02","dnipro"
2016,9,"24","6:29 ↑ (90°)","18:33 ↑ (270°)","12:03:31","dnipro"
2016,9,"25","6:30 ↑ (91°)","18:30 ↑ (269°)","12:00:00","dnipro"
2016,9,"26","6:32 ↑ (91°)","18:28 ↑ (269°)","11:56:29","dnipro"
2016,9,"27","6:33 ↑ (92°)","18:26 ↑ (268°)","11:52:58","dnipro"
2016,9,"28","6:35 ↑ (92°)","18:24 ↑ (267°)","11:49:28","dnipro"
2016,9,"29","6:36 ↑ (93°)","18:22 ↑ (267°)","11:45:57","dnipro"
2016,9,"30","6:38 ↑ (93°)","18:20 ↑ (266°)","11:42:26","dnipro"
2016,10,"1","6:39 ↑ (94°)","18:18 ↑ (266°)","11:38:56","dnipro"
2016,10,"2","6:40 ↑ (95°)","18:16 ↑ (265°)","11:35:26","dnipro"
2016,10,"3","6:42 ↑ (95°)","18:14 ↑ (264°)","11:31:55","dnipro"
2016,10,"4","6:43 ↑ (96°)","18:12 ↑ (264°)","11:28:25","dnipro"
2016,10,"5","6:45 ↑ (96°)","18:10 ↑ (263°)","11:24:55","dnipro"
2016,10,"6","6:46 ↑ (97°)","18:08 ↑ (263°)","11:21:26","dnipro"
2016,10,"7","6:48 ↑ (98°)","18:06 ↑ (262°)","11:17:57","dnipro"
2016,10,"8","6:49 ↑ (98°)","18:04 ↑ (262°)","11:14:27","dnipro"
2016,10,"9","6:51 ↑ (99°)","18:02 ↑ (261°)","11:10:59","dnipro"
2016,10,"10","6:52 ↑ (99°)","18:00 ↑ (260°)","11:07:31","dnipro"
2016,10,"11","6:54 ↑ (100°)","17:58 ↑ (260°)","11:04:03","dnipro"
2016,10,"12","6:55 ↑ (100°)","17:56 ↑ (259°)","11:00:35","dnipro"
2016,10,"13","6:57 ↑ (101°)","17:54 ↑ (259°)","10:57:08","dnipro"
2016,10,"14","6:58 ↑ (102°)","17:52 ↑ (258°)","10:53:41","dnipro"
2016,10,"15","6:59 ↑ (102°)","17:50 ↑ (258°)","10:50:16","dnipro"
2016,10,"16","7:01 ↑ (103°)","17:48 ↑ (257°)","10:46:50","dnipro"
2016,10,"17","7:03 ↑ (103°)","17:46 ↑ (256°)","10:43:25","dnipro"
2016,10,"18","7:04 ↑ (104°)","17:44 ↑ (256°)","10:40:01","dnipro"
2016,10,"19","7:06 ↑ (104°)","17:42 ↑ (255°)","10:36:37","dnipro"
2016,10,"20","7:07 ↑ (105°)","17:40 ↑ (255°)","10:33:13","dnipro"
2016,10,"21","7:09 ↑ (105°)","17:38 ↑ (254°)","10:29:52","dnipro"
2016,10,"22","7:10 ↑ (106°)","17:37 ↑ (254°)","10:26:30","dnipro"
2016,10,"23","7:12 ↑ (107°)","17:35 ↑ (253°)","10:23:10","dnipro"
2016,10,"24","7:13 ↑ (107°)","17:33 ↑ (253°)","10:19:49","dnipro"
2016,10,"25","7:15 ↑ (108°)","17:31 ↑ (252°)","10:16:30","dnipro"
2016,10,"26","7:16 ↑ (108°)","17:29 ↑ (252°)","10:13:12","dnipro"
2016,10,"27","7:18 ↑ (109°)","17:28 ↑ (251°)","10:09:56","dnipro"
2016,10,"28","7:19 ↑ (109°)","17:26 ↑ (251°)","10:06:41","dnipro"
